Location,Category,Item_ID,Parent_ID,Name,Type,UOM,Unit_Rate_USD,Labor_Rate_USD,Material_Rate_USD,CSI_Title
"Lane County, Oregon",Interior Finishes > Interior Trim > Shiplap,c3e92bc5-889d-4827-819f-afb676a10ecf,N/A (Root),"1"" X 6"" X 8' Weathered Barn Wood Shiplap Pine Board",MATERIAL,LF,2.08,37.33,1.43,Millwork
"Lane County, Oregon",Interior Finishes > Interior Trim > Appearance Boards,aeccbca8-b788-433b-b9bf-7c84165a9100,N/A (Root),"1"" X 6"" X 84"" Knotty Alder and Board",MATERIAL,LF,4.95,37.33,4.3,Millwork
"Lane County, Oregon",Interior Finishes > Interior Trim > Appearance Boards,aef5cef9-c728-46b2-b27a-bc35c3f01a85,N/A (Root),"1"" X 6"" X Random Length S4S African Mahogany Board",MATERIAL,LF,10.35,37.33,9.7,Millwork
"Lane County, Oregon",Interior Finishes > Interior Trim > Appearance Boards,831eb656-63e7-49d9-a97a-d48a1bd7a0ab,N/A (Root),"1"" X 6"" X Random Length S4S Oak Board",MATERIAL,LF,7.1,37.33,6.45,Millwork
"Lane County, Oregon",Interior Finishes > Interior Trim > Appearance Boards,a06c5d05-f8ac-4fc6-b42d-6b8dfc14da60,N/A (Root),"1"" X 6"" X Random Length S4S Poplar Board",MATERIAL,LF,4.8,37.33,4.15,Millwork
"Lane County, Oregon",Framing > Rough Carpentry > Exterior Lumber and Decks,9a82f854-1e2f-4f6a-93a3-8a14b1721aae,N/A (Root),"1"" X 6' - 12' Composite Grooved Edge Decking Board",MATERIAL,LF,2.83,37.33,2.04,Composite Decking
"Lane County, Oregon",Framing > Rough Carpentry > Exterior Lumber and Decks,caf31cc5-9899-42e9-8085-46cbf9b75076,N/A (Root),"1"" X 6' - 16' Square Edge Composite Decking Board",MATERIAL,LF,2.7,37.33,1.91,Composite Decking
"Lane County, Oregon",Framing > Rough Carpentry > Exterior Lumber and Decks,ca800d53-1e8f-437b-97a5-92216e421555,N/A (Root),"1"" X 6' X 16' Square Edge Composite Decking Board",MATERIAL,LF,2.7,37.33,1.91,Composite Decking
"Lane County, Oregon",Plumbing > Pipe and Tubing > Galvanized Pipe,c41d8b6d-cb85-40a0-8eb8-2ff887b36fc9,N/A (Root),"1"" X 60"" Galvanized Black Steel Pipe",MATERIAL,LF,16.51,67.14,7.58,Facility Water Distribution
"Lane County, Oregon",Plumbing > Pipe and Tubing > Copper Pipe,808cdbd7-73fb-4e38-be93-8a7077dd8f7b,N/A (Root),"1"" X 60' Type-K Soft Copper Tubing",MATERIAL,LF,19.33,67.14,10.4,Facility Water Distribution
"Lane County, Oregon",Plumbing > Pipe and Tubing > Copper Pipe,91f70ed5-51dd-43dd-b06a-e62752b76765,N/A (Root),"1"" X 60' Type-L Soft Copper Tubing",MATERIAL,LF,18.49,67.14,9.56,Facility Water Distribution
"Lane County, Oregon",Interior Finishes > Tile > Tile Trim,95894987-1fa0-4cc8-a373-2119eadf7f50,N/A (Root),"1"" X 8"" Ceramic Wall Pencil Liner Tile Trim",MATERIAL,LF,22.29,33.2,17.87,Tiling
"Lane County, Oregon",Interior Finishes > Interior Trim > Appearance Boards,eae12ba5-2662-405a-89d7-e730520d8816,N/A (Root),"1"" X 8"" X 1' Random Length S4S Knotty Alder Board",MATERIAL,LF,7.98,37.33,7.33,Millwork
"Lane County, Oregon",Siding > Wood Siding,ee21008a-534c-46e1-8fb2-35dc11af58a2,N/A (Root),"1"" X 8"" X 10' Kiln Dried Cedar Siding Board",MATERIAL,SF,5.07,37.33,2.09,Siding
"Lane County, Oregon",Interior Finishes > Interior Trim > Shiplap,fb220683-f9fe-4729-9e0c-3f3006ccf6be,N/A (Root),"1"" X 8"" X 4' Barn Wood Shiplap Pine Board",MATERIAL,LF,4.08,37.33,3.43,Millwork
"Lane County, Oregon",Framing > Structural Steel > L Angles,9aad3c1a-6bdb-11eb-9439-0242ac130002,N/A (Root),"1"" X 8"" X 8"" Galvanized Steel Angle",MATERIAL,LBS,10.04,37.27,1.76,Structural Steel Framing
"Lane County, Oregon",Framing > Structural Steel > L Angles,b77200ec-87c0-4eff-8f0e-cbaf43314e31,N/A (Root),"1"" X 8"" X 8"" Steel Angle",MATERIAL,LBS,9.72,37.27,1.44,Structural Steel Framing
"Lane County, Oregon",Interior Finishes > Interior Trim > Shiplap,fccbd025-9190-417f-a190-0d356aaf5cb3,N/A (Root),"1"" X 8"" X 8' Barn Wood Shiplap Pine Board",MATERIAL,LF,3.56,37.33,2.91,Millwork
"Lane County, Oregon",Interior Finishes > Interior Trim > Appearance Boards,dd86b223-657b-4d1e-831f-eb62d79d8781,N/A (Root),"1"" X 8"" X Random Length S4S African Mahogany Board",MATERIAL,LF,13.98,37.33,13.33,Millwork
"Lane County, Oregon",Interior Finishes > Tile > Tile Trim,8e7baa0e-42ee-40f0-81ac-50723d1f7c2f,N/A (Root),"1"" X 9-3/4"" Ceramic Pencil Wall Tile Trim",MATERIAL,LF,7.22,33.2,2.8,Tiling
"Lane County, Oregon",Electrical > Interior Lighting > Recessed Lighting,f32a2c7b-564e-4ab7-811b-db9aa5cb9d9e,N/A (Root),1' 100 Watt Integrated LED Dimmable High Bay Light 4000K Light Fixture,MATERIAL,EA,496.36,58.83,105.11,Interior Lighting
"Lane County, Oregon",Electrical > Interior Lighting > Recessed Lighting,a2727ae2-40d5-47f9-b5f4-c6d359c30597,N/A (Root),1' 150 Watt Integrated LED High Bay-Light Indoor/Outdoor UFO-Light 5000K Light Fixture,MATERIAL,EA,491.24,58.83,99.99,Interior Lighting
"Lane County, Oregon",Electrical > Interior Lighting > Track Lighting,e2f9c8da-b455-4b7a-bd2b-96ea8cd6819c,N/A (Root),1' 2-Light and LED Fixed Track Lighting Kit Light Fixture,MATERIAL,EA,30.97,58.83,15.95,Interior Lighting
"Lane County, Oregon",Electrical > Interior Lighting > Recessed Lighting,b93569ec-b225-4b61-a85b-d923215c0abe,N/A (Root),1' 200 Watt Non-Dimmable Integrated LED High Bay Light 5000K Light Fixture,MATERIAL,EA,475.52,58.83,84.27,Interior Lighting
"Lane County, Oregon",Electrical > Interior Lighting > Recessed Lighting,f1f78821-af12-4a1b-9e1d-943917352620,N/A (Root),1' 220 Watt Integrated LED Dimmable High Bay-Light Fixture 5000K Light Fixture,MATERIAL,EA,557.92,58.83,166.67,Interior Lighting
"Lane County, Oregon",Electrical > Interior Lighting > Recessed Lighting,d36728ee-0d65-4fef-834e-78b15cc9bdf8,N/A (Root),1' 250 Watt 100 Watt Integrated LED Dimmable Round High Bay-Light 4000K Light Fixture,MATERIAL,EA,515.24,58.83,123.99,Interior Lighting
"Lane County, Oregon",Electrical > Interior Lighting > Recessed Lighting,a77cf28a-55ae-4b0c-a9ad-35ed552bda25,N/A (Root),1' 250 Watt Integrated LED Dimmable UFO High Bay Light 5000K Light Fixture,MATERIAL,EA,515.24,58.83,123.99,Interior Lighting
